2007, 'SOUTHERN OREGON COASTAL'
2007, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2007, 'ASHO3', 'ASHLAND', '   0.82', '   4.37', '   4.21', '   1.82', '   3.46', '   1.20', '   1.64', '   0.39', '   0.52', '   1.22', '   0.74', '   0.54', ' 20.93', ' 106', ' 106'
2007, 'CVJO3', 'CAVE JUNCTION', '   0.54', '  16.23', '  17.77', '   5.25', '  16.67', 'M', '   3.19', '   1.51', '   0.08', '   1.09', '   0.52', '   0.90', 'M'
2007, 'GOLO3', 'GOLD BEACH', '   0.66', '  19.95', '  15.68', '   5.54', '  13.00', '   6.58', '   4.97', '   1.49', '   1.26', '   0.94', '   0.52', '   2.29', ' 72.88', '  92', '  92'
2007, 'GPSO3', 'GRANTS PASS KAJO', '   0.26', '   7.18', '   7.28', '   0.91', '   6.93', '   1.68', '   1.75', '   0.61', '   0.19', '   0.70', '   0.27', '   0.45', ' 28.21', '  91', '  91'
2007, 'GSPO3', 'GREEN SPRINGS PP', '   0.43', '   4.42', '   4.95', '   2.23', '   4.65', '   0.92', '   1.75', '   0.80', '   0.77', '   0.96', '   0.30', '   0.28', ' 22.46', '  98', '  98'
2007, 'LEMO3', 'LEMOLO LAKE', '   2.38', '  17.78', '  31.34', '   6.20', '   8.50', '   4.85', '   4.75', '   0.46', '   1.98', '   1.92', '   1.34', '   0.90', ' 82.40', ' 126', ' 126'
2007, 'MFR', 'MEDFORD', '   0.38', '   3.78', '   4.75', '   1.66', '   3.57', '   0.88', '   1.34', '   0.27', '   0.20', '   0.62', '   0.23', '   0.59', ' 18.27', '  99', '  99'
2007, 'OTH', 'NORTH BEND', '   0.80', '  18.02', '  12.63', '   6.04', '   9.05', '   5.00', '   2.99', '   1.37', '   1.08', '   0.97', '   1.73', '   2.04', ' 61.72', '  96', '  96'
2007, 'PRSO3', 'PROSPECT 2SW', '   0.17', '  11.98', '   8.24', '   3.55', '   6.50', '   3.58', '   2.82', '   3.57', '   1.50', '   1.06', '   0.64', '   1.03', ' 44.64', ' 106', ' 106'
2007, 'RIDO3', 'RIDDLE', '   0.55', '   7.00', '   7.91', '   2.57', '   4.50', '   2.02', '   1.19', '   0.57', '   0.39', '   0.26', '   0.57', '   0.87', ' 28.40', '  90', '  90'
2007, 'ROGO3', 'ROSEBURG', '   0.15', '   6.41', '   4.76', '   2.22', '   2.02', '   1.01', '   1.23', '   0.08', '   0.64', '   0.57', '   1.02', '   1.50', ' 21.61', '  64', '  64'
2007, 'SXT', 'SEXTON SUMMIT', '   0.68', '   9.70', '  10.02', '   3.39', '   7.71', '   1.98', '   2.22', '   1.00', '   0.53', '   1.11', '   0.63', '   1.33', ' 40.30', ' 121', ' 121'
2007, 'TKFO3', 'TOKETEE FALLS', '   2.14', '  11.77', '  23.05', '   3.98', '   6.92', '   3.40', '   3.92', '   1.52', '   1.95', '   1.92', '   1.10', '   0.76', ' 62.43', ' 128', ' 128'
2007, 'WINO3', 'WINCHESTER DAM', '   1.03', '   9.46', '   8.68', '   3.72', '   5.33', '   2.86', '   2.56', '   1.03', '   0.75', '   0.55', '   1.20', '   0.99', ' 38.16', ' 107', ' 107'
2007, 'WLMO3', 'WILLIAMS', '   0.35', '   9.27', '   8.93', '   2.94', '   7.56', '   1.03', '   1.97', '   0.36', '   0.22', '   0.65', '   0.45', '   0.74', ' 34.47', ' 106', ' 106'
2007, 'OREGON CLOSED BASINS'
2007, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2007, 'HMRO3', 'HART MOUNTAIN REF', '   0.84', '   0.90', '   0.24', '   0.36', '   1.26', '   0.31', '   1.98', '   0.25', '   1.17', '   0.17', '   0.16', '   0.84', '  8.48', '  67', '  67'
2007, 'PASO3', 'PAISLEY', '   0.09', '   1.14', '   0.88', '   0.32', '   1.69', '   0.66', '   0.20', '   0.66', '   0.00', '   0.00', '   0.60', '   1.51', '  7.75', '  72', '  72'
2007, 'SMMO3', 'SUMMER LAKE', '   0.41', '   2.69', '   1.94', '   0.83', '   2.21', '   0.61', '   0.96', '   0.49', '   0.61', '   0.35', '   0.72', '   1.16', ' 12.98', ' 102', ' 102'
2007, 'SVLO3', 'SILVER LAKE', '   0.23', '   1.39', '   1.43', '   0.59', '   1.75', '   0.36', '   0.87', '   0.96', '   1.54', '   0.14', '   0.62', '   0.85', ' 10.73', ' 109', ' 109'
2007, 'NORTHERN CALIFORNIA COASTAL'
2007, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2007, 'CEC', 'CRESCENT CITY ASOS', '   1.21', '  15.32', '  13.81', '   3.79', '  10.43', '   4.85', '   4.00', '   1.18', '   1.39', '   0.97', '   0.13', '   1.61', ' 58.69', 'NA', 'NA'
2007, 'CECC1', 'CRESCENT CITY 3NNW', '   1.32', '  18.97', '  17.03', '   4.87', '  12.34', '   5.99', '   4.75', '   1.50', '   1.78', '   1.23', '   0.15', '   1.68', ' 71.61', ' 107', ' 107'
2007, 'CVLC1', 'COVELO', '   0.06', '   4.20', '   7.02', '   0.87', '  10.39', '   1.14', '   2.80', '   0.86', '   0.15', '   0.45', '   0.01', '   0.28', ' 28.23', '  67', '  67'
2007, 'EKA', 'EUREKA', '   0.58', '   7.41', '   7.09', '   1.86', '  11.86', '   2.51', '   2.72', '   0.86', '   0.46', '   0.97', '   0.08', '   0.60', ' 37.00', '  97', '  97'
2007, 'FORC1', 'FORT ROSS', '   0.17', '   5.08', '   7.66', '   0.83', '   9.87', '   0.51', '   3.25', '   0.52', '   0.00', 'M', '   0.00', '   0.02', 'M'
2007, 'FRBC1', 'FT BRAGG 5N', '   0.64', '   5.63', '   7.53', '   1.28', '   9.69', '   1.53', '   3.17', '   0.80', '   0.33', '   0.64', '   0.03', '   0.28', ' 31.55', '  77', '  77'
