2014, 'SOUTHERN OREGON COASTAL'
2014, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2014, 'ASHO3', 'ASHLAND', '   0.43', '   0.90', '   1.10', '   0.73', '   4.02', '   3.66', '   1.48', '   0.90', '   0.50', '   1.05', '   0.35', '   1.40', ' 16.52', '  83', '  83'
2014, 'CVJO3', 'CAVE JUNCTION', '   0.04', '   2.34', '   1.18', '   1.65', '   9.81', '  10.12', '   1.34', '   1.15', '   0.26', '   0.04', '   0.13', '   1.49', ' 29.55', '  47', '  47'
2014, 'GOLO3', 'GOLD BEACH', '   1.09', '   4.89', '   2.07', '   4.72', '  11.02', '  12.13', '   3.32', '   4.06', '   1.45', '   0.51', '   0.00', '   3.76', ' 49.02', '  63', '  63'
2014, 'GPSO3', 'GRANTS PASS KAJO', '   0.19', '   2.52', '   0.19', '   1.02', '   5.70', '   6.40', '   0.97', '   0.70', '   0.56', '   0.13', '   0.15', '   1.12', ' 19.65', '  63', '  63'
2014, 'GSPO3', 'GREEN SPRINGS PP', '   0.60', '   0.34', '   0.66', '   0.58', '   3.30', '   2.90', '   1.35', '   1.15', '   0.57', '   0.10', '   0.23', '   1.88', ' 13.66', '  58', '  58'
2014, 'LEMO3', 'LEMOLO LAKE', '   1.53', '   6.62', '   4.55', '   7.07', '  16.69', '  11.84', '   5.84', '   5.21', '   1.89', '   0.86', '   0.92', '   2.24', ' 65.26', '  99', '  99'
2014, 'MFR', 'MEDFORD', '   0.20', '   1.12', '   0.36', '   0.78', '   4.55', '   3.50', '   0.82', '   0.47', '   0.54', '   0.10', '   0.63', '   2.04', ' 15.11', '  82', '  82'
2014, 'OTH', 'NORTH BEND', '   0.76', '   2.70', '   2.16', '   2.69', '   8.03', '   5.35', '   3.55', '   1.94', '   0.87', '   0.00', '   0.02', '   1.83', ' 29.90', '  46', '  46'
2014, 'PRSO3', 'PROSPECT 2SW', '   0.28', '   3.28', '   1.64', '   3.62', '   8.52', '   7.14', '   3.67', '   1.52', '   0.66', '   0.37', '   0.45', '   2.07', ' 33.22', '  79', '  79'
2014, 'RIDO3', 'RIDDLE', '   0.53', '   2.09', '   1.30', '   1.73', '   5.18', '   4.19', '   0.92', '   1.26', '   0.65', '   0.15', '   0.15', '   1.45', ' 19.60', '  63', '  63'
2014, 'ROGO3', 'ROSEBURG', '   0.53', '   3.11', '   1.11', '   2.05', '   6.51', '   4.98', '   1.98', '   1.61', '   1.19', '   0.23', '   0.04', '   1.52', ' 24.86', '  74', '  74'
2014, 'SXT', 'SEXTON SUMMIT', '   0.46', '   3.00', '   1.08', '   1.11', '   7.63', '   7.45', '   1.16', '   1.23', '   0.62', '   0.13', '   0.27', '   1.80', ' 25.94', '  74', '  74'
