2009, 'SOUTHERN OREGON COASTAL'
2009, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2009, 'ASHO3', 'ASHLAND', '   0.36', '   1.97', '   2.90', '   1.84', '   1.09', '   2.06', '   1.01', '   1.37', '   1.21', '   0.00', '   0.51', '   0.48', ' 14.80', '  75', '  75'
2009, 'CVJO3', 'CAVE JUNCTION', '   2.11', '   6.05', '  11.58', '   1.76', '   6.34', '   6.62', '   0.53', '   3.55', '   2.72', '   0.05', '   0.14', '   0.25', ' 41.70', '  67', '  67'
2009, 'GOLO3', 'GOLD BEACH', '   2.44', '   8.52', '  15.24', '   3.98', '  11.47', '  11.19', '   3.40', '   4.89', '   0.78', '   0.25', '   0.09', '   1.28', ' 63.53', '  80', '  80'
2009, 'GPSO3', 'GRANTS PASS KAJO', '   0.73', '   3.44', '   5.35', '   1.60', '   2.53', '   3.22', '   1.13', '   2.56', '   1.23', '   0.00', '   0.53', '   0.13', ' 22.45', '  72', '  72'
2009, 'GSPO3', 'GREEN SPRINGS PP', '   0.87', '   2.11', '   2.82', '   2.50', '   1.85', '   3.31', '   1.57', '   2.09', '   1.73', '   0.00', '   0.14', '   0.16', ' 19.15', '  83', '  83'
2009, 'LEMO3', 'LEMOLO LAKE', '   2.70', '   8.28', '  19.02', '   6.76', '   4.57', '   9.11', '   3.16', '   4.92', '   4.62', '   0.03', '   0.17', '   0.71', ' 64.05', '  98', '  98'
2009, 'MFR', 'MEDFORD', '   0.40', '   2.29', '   2.93', '   1.52', '   0.91', '   1.57', '   0.36', '   2.18', '   1.14', '   0.00', '   0.38', '   0.08', ' 13.76', '  75', '  75'
2009, 'OTH', 'NORTH BEND', '   2.32', '   6.86', '   9.20', '   3.82', '   7.19', '   8.56', '   2.64', '   2.87', '   1.28', '   0.09', '   0.29', '   1.48', ' 46.60', '  72', '  72'
2009, 'PRSO3', 'PROSPECT 2SW', '   1.41', '   6.30', '   8.91', '   3.96', '   2.43', '   5.75', '   2.00', '   4.51', '   1.36', '   0.00', '   0.06', '   0.16', ' 36.85', '  87', '  87'
2009, 'RIDO3', 'RIDDLE', '   0.86', '   4.35', '   6.19', '   1.58', '   2.54', '   2.95', '   0.91', '   1.46', '   1.39', '   0.07', '   0.06', '   0.49', ' 22.85', '  72', '  72'
2009, 'ROGO3', 'ROSEBURG', '   1.46', '   4.37', '   7.04', '   1.68', '   3.00', '   3.56', '   0.97', '   1.69', '   1.12', '   0.10', '   0.18', '   0.82', ' 25.99', '  77', '  77'
2009, 'SXT', 'SEXTON SUMMIT', '   1.94', '   5.17', '   7.52', '   1.79', '   4.72', '   4.84', '   0.94', '   2.95', '   1.00', '   0.01', '   0.20', '   0.52', ' 31.60', '  95', '  95'
2009, 'TKFO3', 'TOKETEE FALLS', '   1.60', '   7.73', '  10.28', '   4.18', '   2.94', '   6.54', '   2.72', '   3.37', '   2.04', '   0.00', '   0.06', '   0.89', ' 42.35', '  87', '  87'
2009, 'WINO3', 'WINCHESTER DAM', '   1.30', '   4.81', '   8.02', '   1.76', '   3.08', '   4.05', '   0.95', '   1.91', '   0.74', '   0.35', '   0.11', '   0.97', ' 28.05', '  78', '  78'
2009, 'WLMO3', 'WILLIAMS', '   0.97', '   3.04', '   6.99', '   1.59', '   2.26', '   3.85', '   0.33', '   2.50', '   2.34', '   0.00', '   0.18', '   0.05', ' 24.10', '  74', '  74'
2009, 'OREGON CLOSED BASINS'
