2004, 'SOUTHERN OREGON COASTAL'
2004, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY Tota', 'Pct Avg to Date'
2004, '4BK', 'BROOKINGS', '   1.29', '  12.40', '  22.36', '  15.58', '  12.50', '   5.93', '   5.69', '   1.61', '   0.45', '   0.10', '   2.77', '   1.16', ' 81.84', ' 111'
2004, 'ASHO3', 'ASHLAND', '   0.16', '   2.46', '   3.36', '   2.42', '   2.82', '   1.43', '   1.33', '   2.17', '   0.22', '   0.32', '   1.50', '   0.13', ' 18.32', '  93'
2004, 'COPO3', 'COPPER 4NE', '   0.01', '   3.00', '   7.74', '   4.26', '   5.62', '   1.72', '   0.64', 'M', 'M', 'M', 'M', 'M', 'M'
2004, 'CVJO3', 'CAVE JUNCTION', '   0.32', '   6.19', '  17.35', '   8.56', '  12.35', '   4.78', '   4.97', '   1.10', '   0.16', '   0.00', '   0.21', '   0.78', ' 56.77', '  91'
2004, 'GOLO3', 'GOLD BEACH', '   1.45', '   9.86', '  19.79', '  11.86', '  11.80', '   4.02', '   5.89', '   7.84', '   0.63', '   0.04', '   0.80', '   1.62', ' 75.60', '  95'
2004, 'GPSO3', 'GRANTS PASS KAJO', '   0.10', '   2.82', '   8.92', '   4.01', '   5.26', '   2.48', '   1.41', '   0.97', '   0.11', '   0.02', '   0.41', '   0.34', ' 26.85', '  86'
2004, 'GSPO3', 'GREEN SPRINGS PP', '   0.20', '   2.76', '   4.80', '   3.15', '   4.55', '   1.70', '   1.28', '   2.83', '   0.16', '   0.14', '   0.55', '   0.57', ' 22.69', '  99'
2004, 'LEMO3', 'LEMOLO LAKE', '   2.34', '   9.31', '  16.18', '   9.47', '   7.14', '   3.89', '   4.59', '   5.70', '   2.34', '   0.34', '   2.79', '   2.51', ' 66.60', ' 102'
2004, 'MFR', 'MEDFORD', '   0.05', '   2.38', '   4.67', '   2.98', '   3.35', '   1.27', '   0.75', '   1.27', '   0.18', '   0.00', '   0.52', '   0.04', ' 17.46', '  95'
2004, 'OTH', 'NORTH BEND', '   2.01', '  10.11', '  16.73', '  11.60', '   9.93', '   3.76', '   4.75', '   2.10', '   1.84', '   0.05', '   0.90', '   5.26', ' 69.04', ' 107'
2004, 'PRSO3', 'PROSPECT 2SW', '   0.32', '   6.18', '  10.33', '  17.13', '   6.16', '   3.20', '   2.88', '   3.12', '   0.37', '   0.05', '   1.19', '   0.62', ' 51.55', ' 122'
2004, 'RIDO3', 'RIDDLE', '   0.58', '   4.37', '   8.24', '   5.32', '   3.40', '   1.33', '   1.11', '   1.40', '   1.01', '   0.05', '   0.75', '   0.82', ' 28.38', '  90'
2004, 'ROGO3', 'ROSEBURG', '   0.50', '   5.25', '   8.81', '   6.17', '   4.04', '   2.90', '   1.72', '   1.24', '   1.40', '   0.00', '   0.90', '   1.08', ' 34.01', ' 101'
