2016, 'SOUTHERN OREGON COASTAL'
2016, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2016, 'ASHO3', 'ASHLAND', '   0.50', '   2.61', '   7.60', '   3.63', '   1.29', '   2.87', '   1.27', '   0.69', '   0.89', '   0.32', '   0.00', '   0.27', ' 21.94', ' 110', ' 110'
2016, 'CVJO3', 'CAVE JUNCTION', '   0.89', '   4.09', '  23.45', '  13.18', '   3.95', '  13.58', '   3.12', '   0.54', '   0.29', '   0.37', '   0.00', '   0.01', ' 63.47', ' 101', ' 101'
2016, 'GOLO3', 'GOLD BEACH', '   2.71', '   7.86', '  29.47', '  16.32', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', '   0.00', ' 56.36', '  73', '  73'
2016, 'GPSO3', 'GRANTS PASS KAJO', '   0.59', '   1.69', '  14.05', '   9.06', '   2.84', '   7.83', '   2.09', '   0.44', '   0.59', '   0.50', '   0.00', '   0.00', ' 39.68', ' 128', ' 128'
2016, 'GSPO3', 'GREEN SPRINGS PP', '   0.71', '   1.53', '   8.12', '   4.75', '   1.62', '   4.91', '   1.84', '   1.08', '   1.20', '   0.14', '   0.00', '   0.59', ' 26.49', ' 112', ' 112'
2016, 'LEMO3', 'LEMOLO LAKE', '   2.17', '   8.56', '  24.19', '  10.33', '   4.52', '  11.20', '   4.22', '   1.86', '   1.47', '   1.42', '   0.00', '   0.72', ' 70.66', ' 107', ' 107'
2016, 'MFR', 'MEDFORD', '   0.46', '   1.57', '   7.73', '   4.22', '   1.03', '   2.45', '   0.96', '   0.33', '   0.57', '   0.45', '   0.00', '   0.01', ' 19.78', ' 108', ' 108'
2016, 'OTH', 'NORTH BEND', 'M', '   5.32', 'M', '  12.20', '   4.37', '   9.93', '   3.41', '   0.61', '   0.78', '   0.90', '   0.02', '   0.34', 'M'
2016, 'PRSO3', 'PROSPECT 2SW', '   0.97', '   6.22', '  17.52', '   7.86', '   3.13', '   7.57', '   2.63', '   0.59', '   3.90', '   1.02', '   0.00', '   0.13', ' 51.54', ' 123', ' 123'
2016, 'RIDO3', 'RIDDLE', '   1.80', '   2.68', '  14.70', '   7.67', '   2.33', '   5.64', '   2.68', '   1.53', '   0.72', '   0.54', '   0.00', '   0.11', ' 40.40', ' 130', ' 130'
2016, 'ROGO3', 'ROSEBURG', '   1.32', '   3.27', '  14.79', '   7.29', '   2.61', '   5.90', '   2.00', '   1.01', '   0.62', '   0.79', '   0.00', '   0.13', ' 39.73', ' 118', ' 118'
2016, 'SXT', 'SEXTON SUMMIT', '   1.49', '   4.69', '   7.82', '  10.39', '   3.74', '   7.43', '   2.77', '   0.75', '   0.17', '   0.58', 'M', '   0.07', 'M'
2016, 'TKFO3', 'TOKETEE FALLS', '   1.72', '   6.07', '  16.49', '   7.58', '   3.29', '   8.40', '   3.38', '   1.14', '   1.61', '   1.10', '   0.00', '   0.48', ' 51.26', ' 106', ' 106'
2016, 'WINO3', 'WINCHESTER DAM', '   1.51', '   3.63', '  15.58', '   7.59', '   2.97', '   6.91', '   2.45', '   0.77', '   1.43', '   0.98', '   0.00', '   0.10', ' 43.92', ' 121', ' 121'
2016, 'WLMO3', 'WILLIAMS', '   0.43', '   2.37', '  14.02', '   8.68', '   2.10', '   7.56', '   1.82', '   0.46', '   0.55', '   0.41', '   0.00', '   0.00', ' 38.40', ' 118', ' 118'
2016, 'OREGON CLOSED BASINS'
2016, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2016, 'HMRO3', 'HART MOUNTAIN REF', '   0.34', '   1.57', '   2.24', 'M', '   0.29', '   0.81', '   1.14', '   2.92', '   0.33', '   0.30', '   0.02', '   1.86', 'M'
2016, 'PASO3', 'PAISLEY', '   0.68', '   0.53', '   1.86', '   1.39', '   0.17', '   1.93', '   0.44', '   1.93', '   0.71', '   0.12', '   0.00', 'M', 'M'
2016, 'SMMO3', 'SUMMER LAKE', '   0.58', '   0.55', '   2.94', '   2.14', '   0.62', '   1.31', '   0.84', '   2.12', '   0.77', '   0.18', '   0.00', '   0.05', ' 12.10', '  91', '  91'
2016, 'SVLO3', 'SILVER LAKE', '   0.58', '   0.93', '   2.91', '   1.41', '   0.23', '   1.61', '   0.42', '   0.91', '   1.11', '   0.01', 'M', '   0.49', 'M'
2016, 'NORTHERN CALIFORNIA COASTAL'
2016, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2016, 'CEC', 'CRESCENT CITY ASOS', '   2.40', '   8.10', '  24.18', '  14.43', '   3.81', '  10.11', '   2.74', '   0.38', '   0.28', '   1.03', '   0.00', '   0.00', ' 67.46', ' 105', ' 105'
2016, 'CVLC1', 'COVELO', 'M', '   2.18', 'M', '  10.45', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M', 'M'
2016, 'EKA', 'EUREKA', '   1.18', '   4.88', '  14.66', '  12.06', '   2.98', '   8.11', '   2.84', '   0.76', '   0.02', '   0.54', '   0.04', '   0.01', ' 48.08', ' 119', ' 119'
2016, 'FORC1', 'FORT ROSS', '   0.27', '   2.00', '  11.17', '  10.58', 'M', '   9.69', '   1.33', 'M', 'M', '   0.00', 'M', 'M', 'M'
2016, 'FRBC1', 'FT BRAGG 5N', '   0.51', '   3.94', '  14.98', '  13.59', '   2.46', '  12.81', '   2.50', '   1.22', '   0.71', '   0.06', '   0.17', '   0.01', ' 52.96', ' 122', ' 122'
2016, 'GASC1', 'GASQUET RS', '   2.47', '   9.80', '  34.36', '  21.01', '   6.79', '  19.07', '   4.99', '   0.40', '   0.32', '   1.05', '   0.00', '   0.00', '100.26', ' 111', ' 111'
2016, 'SCOC1', 'SCOTIA', '   0.68', '   4.85', '  14.81', '  15.17', '   3.45', '  12.25', '   2.74', '   1.36', '   0.07', '   0.06', '   0.00', '   0.00', ' 55.44', ' 112', ' 112'
2016, 'UPPER KLAMATH'
2016, 'ID', 'Location', 'OCT', 'NOV', 'DEC', 'JAN', 'FEB', 'MAR', 'APR', 'MAY', 'JUN', 'JUL', 'AUG', 'SEP', 'WY to Date', 'Pct Avg to Date', 'Pct Tot WY'
2016, 'CHEO3', 'CHEMULT', '   0.96', '   1.68', '   9.56', '   4.75', '   2.90', '   5.44', '   0.78', 'M', 'M', '   0.10', 'M', 'M', 'M'
